Date : 2025-05-23 16:43:18
Directory : c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb
Total : 298 files,  35336 codes, 4807 comments, 5072 blanks, all 45215 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| SCSS       |        168 |     11,798 |      2,498 |      2,718 |     17,014 |
| JSON       |          4 |     11,772 |          0 |          4 |     11,776 |
| JavaScript |         20 |      5,072 |      1,134 |        921 |      7,127 |
| PHP        |         88 |      4,389 |      1,072 |        981 |      6,442 |
| PostCSS    |         14 |      2,184 |        101 |        420 |      2,705 |
| Markdown   |          1 |         48 |          0 |         21 |         69 |
| vue        |          2 |         42 |          0 |          6 |         48 |
| XML        |          1 |         31 |          2 |          1 |         34 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        298 |     35,336 |      4,807 |      5,072 |     45,215 |
| . (Files)                                                                                                               |          9 |     11,902 |          3 |         31 |     11,936 |
| app                                                                                                                     |         25 |        808 |        366 |        282 |      1,456 |
| app\Enums                                                                                                               |          1 |         13 |          0 |          5 |         18 |
| app\Http                                                                                                                |         18 |        653 |        335 |        233 |      1,221 |
| app\Http\Controllers                                                                                                    |         18 |        653 |        335 |        233 |      1,221 |
| app\Http\Controllers (Files)                                                                                            |         12 |        556 |        203 |        186 |        945 |
| app\Http\Controllers\Auth                                                                                               |          6 |         97 |        132 |         47 |        276 |
| app\Models                                                                                                              |          5 |        130 |         23 |         39 |        192 |
| app\Providers                                                                                                           |          1 |         12 |          8 |          5 |         25 |
| bootstrap                                                                                                               |          2 |         18 |          2 |          5 |         25 |
| config                                                                                                                  |         10 |        477 |        556 |        191 |      1,224 |
| database                                                                                                                |         15 |        357 |         95 |         69 |        521 |
| database\factories                                                                                                      |          1 |         25 |         14 |          6 |         45 |
| database\migrations                                                                                                     |         13 |        318 |         76 |         58 |        452 |
| database\seeders                                                                                                        |          1 |         14 |          5 |          5 |         24 |
| public                                                                                                                  |        115 |     13,126 |      2,438 |      2,687 |     18,251 |
| public (Files)                                                                                                          |          1 |          9 |          3 |          6 |         18 |
| public\css                                                                                                              |          3 |        312 |         19 |         73 |        404 |
| public\js                                                                                                               |          4 |        115 |         56 |         39 |        210 |
| public\js (Files)                                                                                                       |          3 |         94 |         56 |         36 |        186 |
| public\js\components                                                                                                    |          1 |         21 |          0 |          3 |         24 |
| public\lib                                                                                                              |         23 |      6,791 |      1,111 |      1,210 |      9,112 |
| public\lib\animate                                                                                                      |          2 |      1,258 |         18 |        316 |      1,592 |
| public\lib\counterup                                                                                                    |          1 |          1 |         10 |          1 |         12 |
